"ProcessName","ExecutablePath","CreationDate","ProcessId","ParentProcessId","CommandLine","SessionID"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 6:13:58 PM","16724","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SensorService","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:12 PM","3680","1116","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:12 PM","3128","1116","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p -s iphlpsvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 6:42:44 PM","100","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wuauserv","0"
"PresentationFontCache.exe","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","2/3/2025 2:27:11 PM","7816","1116","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:11 PM","8012","1116","C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s ShellHWDetection","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 6:14:59 PM","18324","1116","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s DsSvc","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:24 PM","12584","1116","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:20 PM","11460","1116","C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup -s UdkUserSvc","1"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:25 PM","13208","1116","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"SearchIndexer.exe","C:\WINDOWS\system32\SearchIndexer.exe","2/3/2025 2:27:25 PM","12700","1116","C:\WINDOWS\system32\SearchIndexer.exe /Embedding","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:29:22 PM","4628","1116","C:\WINDOWS\system32\svchost.exe -k InvSvcGroup -p -s InventorySvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:18 PM","10500","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc","0"
"svchost.exe",,"2/3/2025 2:27:19 PM","11168","1116",,"0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:29:22 PM","10012","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s lfsvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:28:01 PM","14784","1116","C:\WINDOWS\system32\svchost.exe -k WebThreatDefense -p -s webthreatdefsvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:28:03 PM","15224","1116","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV","0"
"NisSrv.exe",,"2/3/2025 2:27:40 PM","5028","1116",,"0"
"SecurityHealthService.exe",,"2/3/2025 2:28:00 PM","14652","1116",,"0"
"AWCC.Service.exe","C:\Program Files\Alienware\Alienware Command Center\AWCC.Service.exe","2/3/2025 2:29:16 PM","8708","1116","""C:\Program Files\Alienware\Alienware Command Center\AWCC.Service.exe""","0"
"ServiceShell.exe","C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe","2/3/2025 2:29:16 PM","8008","1116","""C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe""","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:28:40 PM","9528","1116","C:\WINDOWS\System32\svchost.exe -k LocalService -p -s LicenseManager","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:29:08 PM","14576","1116","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","1"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:18 PM","11260","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:13 PM","9228","1116","C:\WINDOWS\system32\svchost.exe -k osprivacy -p -s camsvc","0"
"wslservice.exe","C:\Program Files\WSL\wslservice.exe","2/3/2025 2:27:13 PM","9152","1116","""C:\Program Files\WSL\wslservice.exe""","0"
"LanWlanWwanSwitchingServiceUWP.exe","C:\WINDOWS\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_b8c54d887660aa14\LanWlanWwanSwitchingServiceUWP.exe","2/3/2025 2:27:13 PM","9396","1116","C:\WINDOWS\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_b8c54d887660aa14\LanWlanWwanSwitchingServiceUWP.exe","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:13 PM","9332","1116","C:\WINDOWS\System32\svchost.exe -k netsvcs","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:13 PM","8920","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s WpnService","0"
"MsMpEng.exe",,"2/3/2025 2:27:13 PM","8872","1116",,"0"
"TeraCopyService.exe","C:\Program Files\TeraCopy\TeraCopyService.exe","2/3/2025 2:27:13 PM","9048","1116","""C:\Program Files\TeraCopy\TeraCopyService.exe""","0"
"XtuService.exe","C:\WINDOWS\SysWOW64\XtuService.exe","2/3/2025 2:27:13 PM","8940","1116","C:\WINDOWS\SysWOW64\XtuService.exe","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:29:23 PM","1604","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UsoSvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:29:23 PM","7028","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -s W32Time","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:18 PM","11204","1116","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc","1"
"DiagsCap.exe","C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_a58ce5a91133675e\x64\DiagsCap.exe","2/3/2025 2:27:17 PM","11084","1116","C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_a58ce5a91133675e\x64\DiagsCap.exe","0"
"esif_uf.exe","C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe","2/3/2025 2:27:14 PM","9944","1116","""C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe""","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:13 PM","9480","1116","C:\WINDOWS\System32\svchost.exe -k LocalService -p -s WdiServiceHost","0"
"svchost.exe",,"2/3/2025 2:29:23 PM","1904","1116",,"0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:31:56 PM","11672","1116","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2408","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s NgcSvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2388","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2592","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s SENS","0"
"IntelCpHeciSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_393549dac595e659\IntelCpHeciSvc.exe","2/3/2025 2:27:01 PM","2548","1116","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_393549dac595e659\IntelCpHeciSvc.exe","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2300","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager","0"
"IntelCpHDCPSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_393549dac595e659\IntelCpHDCPSvc.exe","2/3/2025 2:27:01 PM","2284","1116","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_393549dac595e659\IntelCpHDCPSvc.exe","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2360","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s EventSystem","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2308","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DisplayEnhancementService","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:01 PM","2600","1116","C:\WINDOWS\System32\svchost.exe -k netprofm -p -s netprofm","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2096","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","3056","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s PhoneSvc","0"
"vmms.exe","C:\WINDOWS\system32\vmms.exe","2/3/2025 2:27:01 PM","3192","1116","C:\WINDOWS\system32\vmms.exe","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","3160","1116","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2836","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DeviceAssociationService","0"
"igfxCUIService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_ea0f2e956b37b3be\igfxCUIService.exe","2/3/2025 2:27:01 PM","2828","1116","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_ea0f2e956b37b3be\igfxCUIService.exe","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","3004","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Winmgmt","0"
"WUDFHost.exe","C:\Windows\System32\WUDFHost.exe","2/3/2025 2:27:01 PM","2984","1116","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-0c3252c8-5569-4520-b82a-1c174562a0e1 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-a29dfd25-433d-4541-9e0b-b9796bccbfd9 -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-392834bb-53fb-4ed1-ae4e-6e0fe5d6f0f3 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-58c53526-ad1a-411e-b62c-dede216961b0 -LifetimeId:4b5bf5bb-d839-4f0c-a800-b5ac0da1367a -DeviceGroupId:WpdFsGroup -HostArg:0","0"
"WUDFHost.exe","C:\Windows\System32\WUDFHost.exe","2/3/2025 2:27:00 PM","1616","1116","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-5e86b46d-83ca-49fd-b4b8-a7f969ea0db4 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-cf8649bf-fe3c-4af7-91b7-44b9b86e1759 -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-3c8f5fd5-cb7d-4317-9bc4-3406b3e77c1a -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-4ad97940-42ec-491e-8109-9aa849efb3cb -LifetimeId:b6f8cafc-d4c7-4998-bff7-cef4df688416 -DeviceGroupId:WudfDefaultDevicePool -HostArg:0","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 6:45:42 PM","9912","1116","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","1844","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s HvHost","0"
"msiexec.exe","C:\WINDOWS\system32\msiexec.exe","2/3/2025 6:45:41 PM","17872","1116","C:\WINDOWS\system32\msiexec.exe /V","0"
"WUDFHost.exe","C:\Windows\System32\WUDFHost.exe","2/3/2025 2:27:00 PM","1324","1116","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-dbce3145-251c-4db4-a8e1-4d2990a7b2a7 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-ef54d615-1850-45a1-99f5-fe41a97e1ddf -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-98f627bd-acf3-4016-8357-13c0f244b48d -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-b1cf5db3-f4b2-4e53-aabd-787c71c13520 -LifetimeId:b77fabbd-56c7-488f-9124-b99f849c7a78 -DeviceGroupId: -HostArg:0","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:00 PM","1268","1116","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:00 PM","1504","1116","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:00 PM","1452","1116","C:\WINDOWS\system32\svchost.exe -k RPCSS -p","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:01 PM","1872","1116","C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s BDESVC","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:01 PM","2088","1116","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2068","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2108","1116","C:\WINDOWS\system32\svchost.exe -k UserProfileService -p -s ProfSvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2100","1116","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","628","1116","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -s BTAGService","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","1948","1116","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","640","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s bthserv","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","1208","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s BthAvctpSvc","0"
"vmcompute.exe","C:\WINDOWS\system32\vmcompute.exe","2/3/2025 2:27:02 PM","4428","1116","C:\WINDOWS\system32\vmcompute.exe","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 6:45:30 PM","14712","1116","C:\WINDOWS\System32\svchost.exe -k smphost","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 6:45:27 PM","8928","1116","C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s NetSetupSvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:02 PM","4360","1116","C:\WINDOWS\system32\svchost.exe -k appmodel -p -s StateRepository","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:02 PM","4108","1116","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:02 PM","4132","1116","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:02 PM","4248","1116","C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s SharedAccess","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:02 PM","5060","1116","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc","0"
"svchost.exe",,"2/3/2025 2:27:03 PM","5688","1116",,"0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:03 PM","5728","1116","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:03 PM","5776","1116","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:03 PM","5552","1116","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:03 PM","5432","1116","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s NgcCtnrSvc","0"
"HotKeyServiceUWP.exe","C:\WINDOWS\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_b8c54d887660aa14\HotKeyServiceUWP.exe","2/3/2025 2:27:03 PM","5484","1116","C:\WINDOWS\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_b8c54d887660aa14\HotKeyServiceUWP.exe","0"
"TrustedInstaller.exe","C:\WINDOWS\servicing\TrustedInstaller.exe","2/3/2025 6:45:25 PM","16352","1116","C:\WINDOWS\servicing\TrustedInstaller.exe","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:01 PM","3688","1116","C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s Themes","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","3624","1116","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","3376","1116","C:\WINDOWS\system32\svchost.exe -k NetSvcs -p -s HNS","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","3696","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","3516","1116","C:\WINDOWS\system32\svchost.exe -k NetSvcs -s nvagent","0"
"SynTPEnhService.exe","C:\WINDOWS\System32\SynTPEnhService.exe","2/3/2025 2:27:01 PM","3400","1116","C:\WINDOWS\System32\SynTPEnhService.exe","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:01 PM","3616","1116","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog","0"
"NVDisplay.Container.exe","C:\WINDOWS\System32\DriverStore\FileRepository\nvbl.inf_amd64_40a1fdce5d23d247\Display.NvContainer\NVDisplay.Container.exe","2/3/2025 2:27:01 PM","3528","1116","C:\WINDOWS\System32\DriverStore\FileRepository\nvbl.inf_amd64_40a1fdce5d23d247\Display.NvContainer\NVDisplay.Container.exe -s NVDisplay.ContainerLocalSystem -f C:\ProgramData\NVIDIA\NVDisplay.ContainerLocalSystem.log -l 3 -d C:\WINDOWS\System32\DriverStore\FileRepository\nvbl.inf_amd64_40a1fdce5d23d247\Display.NvContainer\plugins\LocalSystem -r -p 30000 -cfg NVDisplay.ContainerLocalSystem\LocalSystem /ert","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","3792","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s FontCache","0"
