"Class","FriendlyName","InstanceId","Problem","ConfigManagerErrorCode","ProblemDescription","Caption","Description","InstallDate","Name","Status","Availability","ConfigManagerUserConfig","CreationClassName","DeviceID","ErrorCleared","ErrorDescription","LastErrorCode","PNPDeviceID","PowerManagementCapabilities","PowerManagementSupported","StatusInfo","SystemCreationClassName","SystemName","ClassGuid","CompatibleID","HardwareID","Manufacturer","PNPClass","Present","Service","PSComputerName"
"USB","Generic USB Hub","USB\VID_2109&PID_2822\MSFT20000000001","CM_PROB_NONE","CM_PROB_NONE",,"Generic USB Hub","Generic USB Hub",,"Generic USB Hub","OK",,"False","Win32_PnPEntity","USB\VID_2109&PID_2822\MSFT20000000001",,,,"USB\VID_2109&PID_2822\MSFT20000000001",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{36fc9e60-c465-11cf-8056-444553540000}","System.String[]","System.String[]","(Standard USB HUBs)","USB","True","USBHUB3",
"HIDClass","HID-compliant device","HID\HID_DEVICE_SYSTEM_VHF\8&37B42693&0&0000","CM_PROB_NONE","CM_PROB_NONE",,"HID-compliant device","HID-compliant device",,"HID-compliant device","OK",,"False","Win32_PnPEntity","HID\HID_DEVICE_SYSTEM_VHF\8&37B42693&0&0000",,,,"HID\HID_DEVICE_SYSTEM_VHF\8&37B42693&0&0000",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}",,"System.String[]","(Standard system devices)","HIDClass","True",,
"System","PCI standard host CPU bridge","PCI\VEN_8086&DEV_A700&SUBSYS_88821043&REV_01\3&11583659&0&00","CM_PROB_NONE","CM_PROB_NONE",,"PCI standard host CPU bridge","PCI standard host CPU bridge",,"PCI standard host CPU bridge","OK",,"False","Win32_PnPEntity","PCI\VEN_8086&DEV_A700&SUBSYS_88821043&REV_01\3&11583659&0&00",,,,"PCI\VEN_8086&DEV_A700&SUBSYS_88821043&REV_01\3&11583659&0&00",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97d-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","(Standard system devices)","System","True",,
"System","Microsoft Basic Display Driver","ROOT\BASICDISPLAY\0000","CM_PROB_NONE","CM_PROB_NONE",,"Microsoft Basic Display Driver","Microsoft Basic Display Driver",,"Microsoft Basic Display Driver","OK",,"False","Win32_PnPEntity","ROOT\BASICDISPLAY\0000",,,,"ROOT\BASICDISPLAY\0000",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard display types)","System","True","BasicDisplay",
"Bluetooth","Mike?s AirPods Pro - Find  Avrcp Transport","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&0001004C_PID&200E\7&234C9542&0&C40B31A45F4D_C00000000","CM_PROB_NONE","CM_PROB_NONE",,"Mike?s AirPods Pro - Find  Avrcp Transport","Microsoft Bluetooth Avrcp Transport Driver",,"Mike?s AirPods Pro - Find  Avrcp Transport","OK",,"False","Win32_PnPEntity","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&0001004C_PID&200E\7&234C9542&0&C40B31A45F4D_C00000000",,,,"BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&0001004C_PID&200E\7&234C9542&0&C40B31A45F4D_C00000000",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{e0cbf06c-cd8b-4647-bb8a-263b43f0f974}","System.String[]","System.String[]","Microsoft","Bluetooth","True","Microsoft_Bluetooth_AvrcpTransport",
"System","ACPI Sleep Button","ACPI\PNP0C0E\2&DABA3FF&0","CM_PROB_NONE","CM_PROB_NONE",,"ACPI Sleep Button","ACPI Sleep Button",,"ACPI Sleep Button","OK",,"False","Win32_PnPEntity","ACPI\PNP0C0E\2&DABA3FF&0",,,,"ACPI\PNP0C0E\2&DABA3FF&0",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"Bluetooth","Stark","BTHENUM\DEV_D7578E63AEAF\7&234C9542&0&BLUETOOTHDEVICE_D7578E63AEAF","CM_PROB_NONE","CM_PROB_NONE",,"Stark","Bluetooth Device",,"Stark","OK",,"False","Win32_PnPEntity","BTHENUM\DEV_D7578E63AEAF\7&234C9542&0&BLUETOOTHDEVICE_D7578E63AEAF",,,,"BTHENUM\DEV_D7578E63AEAF\7&234C9542&0&BLUETOOTHDEVICE_D7578E63AEAF",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{e0cbf06c-cd8b-4647-bb8a-263b43f0f974}","System.String[]","System.String[]","Microsoft","Bluetooth","True",,
"USB","USB Root Hub (USB 3.0)","USB\ROOT_HUB30\7&10E189B0&0&0","CM_PROB_NONE","CM_PROB_NONE",,"USB Root Hub (USB 3.0)","USB Root Hub (USB 3.0)",,"USB Root Hub (USB 3.0)","OK",,"False","Win32_PnPEntity","USB\ROOT_HUB30\7&10E189B0&0&0",,,,"USB\ROOT_HUB30\7&10E189B0&0&0",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{36fc9e60-c465-11cf-8056-444553540000}",,"System.String[]","(Standard USB HUBs)","USB","True","USBHUB3",
"System","Microsoft Hypervisor Service","ROOT\HVSERVICE\0000","CM_PROB_NONE","CM_PROB_NONE",,"Microsoft Hypervisor Service","Microsoft Hypervisor Service",,"Microsoft Hypervisor Service","OK",,"False","Win32_PnPEntity","ROOT\HVSERVICE\0000",,,,"ROOT\HVSERVICE\0000",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","Microsoft","System","True","hvservice",
"MEDIA","Solo Pro","BTHENUM\{0000110B-0000-1000-8000-00805F9B34FB}_VID&0001004C_PID&200C\7&234C9542&0&F40E01BA29FC_C00000000","CM_PROB_NONE","CM_PROB_NONE",,"Solo Pro","Microsoft Bluetooth A2dp Source",,"Solo Pro","OK",,"False","Win32_PnPEntity","BTHENUM\{0000110B-0000-1000-8000-00805F9B34FB}_VID&0001004C_PID&200C\7&234C9542&0&F40E01BA29FC_C00000000",,,,"BTHENUM\{0000110B-0000-1000-8000-00805F9B34FB}_VID&0001004C_PID&200C\7&234C9542&0&F40E01BA29FC_C00000000",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e96c-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","Microsoft","MEDIA","True","BthA2dp",
